PM2.5,PM10,NO2,SO2,CO,O3,no,nh3,aqi_value
13.47,19.47,54.84,10.61,614.17,26.82,5.19,29.5,56
30.48,42.47,71.97,13.71,1028.06,6.35,10.13,89.41,163
50.14,68.3,86.37,19.07,1495.36,1.25,15.33,164.51,224
65.06,88.58,101.45,23.6,1895.9,0.06,19.76,228.88,203
71.5,98.51,105.56,22.65,2082.82,0.0,20.52,268.22,236
72.4,101.27,105.56,21.22,2109.53,0.0,19.51,268.22,231
63.31,90.31,97.33,20.5,1815.8,0.0,17.23,219.94,205
78.94,114.8,94.59,12.64,2109.53,0.0,19.76,257.49,231
81.86,120.98,87.74,9.66,2109.53,0.0,20.52,250.34,245
74.84,111.17,79.51,8.7,1949.31,0.0,17.99,219.94,203
50.64,76.26,66.49,6.14,1428.6,0.0,7.79,144.84,212
27.3,40.92,57.58,4.65,907.9,0.0,2.53,65.27,172
14.31,20.88,52.78,4.59,600.81,0.15,1.19,18.33,85
10.66,15.32,47.3,4.35,520.71,1.04,0.95,7.71,86
9.81,13.71,44.55,4.65,494.0,2.77,0.84,4.3,75
9.06,12.2,41.81,5.42,467.3,6.71,0.72,1.96,72
9.0,12.03,41.81,5.9,453.95,5.68,0.78,2.71,52
11.61,15.8,45.93,6.68,507.35,0.92,1.42,12.18,93
15.01,20.83,45.24,8.23,587.46,3.89,2.22,29.95,75
15.91,22.25,42.84,10.01,614.17,11.98,3.04,37.55,67
14.34,20.1,38.73,11.92,574.11,20.21,3.2,33.97,99
5.31,7.37,22.28,7.75,373.84,51.5,1.33,9.5,42
3.38,4.89,17.31,6.74,340.46,60.8,1.16,6.54,16
2.83,4.19,16.11,6.14,333.79,63.66,1.14,5.59,23
6.27,9.27,29.47,7.45,420.57,47.92,2.41,12.07,23
10.91,16.32,44.55,9.42,547.41,26.82,3.96,23.47,89
14.54,21.93,56.21,11.32,654.22,10.01,5.32,35.32,53
28.41,42.15,63.06,11.09,1094.82,0.47,10.01,107.29,179
55.05,78.1,69.23,10.25,1815.8,0.0,16.21,232.46,230
98.4,132.86,82.25,10.85,2723.69,0.0,24.32,382.66,214
153.36,202.25,101.45,12.04,3631.59,0.0,31.92,529.29,205
174.11,233.25,108.3,10.73,3898.62,0.0,27.87,565.05,247
146.38,204.12,98.71,8.46,3364.56,0.0,18.24,472.07,206
87.35,124.6,80.2,7.87,2216.34,0.0,10.51,271.8,219
54.93,81.01,70.6,7.21,1535.42,0.0,6.14,159.14,242
34.56,53.19,65.12,6.26,1068.12,0.0,3.64,83.15,176
23.81,36.96,59.63,5.66,801.09,0.0,2.69,44.26,105
19.26,29.39,54.15,5.48,680.92,0.0,2.37,29.06,81
17.29,25.9,50.04,5.36,627.52,0.02,2.22,22.8,55
16.08,24.0,47.3,5.48,600.81,0.06,2.28,19.67,96
17.38,25.41,45.93,6.5,620.84,0.03,3.2,24.14,93
27.05,38.23,47.98,8.11,821.11,0.01,7.09,56.33,166
39.33,55.16,52.78,9.54,1121.52,1.29,11.15,103.71,181
41.65,59.11,52.78,9.18,1188.28,4.65,9.37,118.02,198
33.84,48.51,50.04,11.09,974.66,10.37,6.9,84.94,198
13.05,17.19,33.24,12.4,460.62,44.7,1.76,16.32,60
12.41,15.56,29.47,12.28,420.57,54.36,1.33,12.18,80
13.71,16.91,31.19,13.23,420.57,57.94,1.3,11.73,76
27.82,35.27,57.58,12.76,714.3,28.97,5.0,44.26,190
53.5,67.35,80.2,13.11,1228.33,9.66,9.75,116.23,240
76.57,95.23,95.96,15.74,1668.93,3.04,13.81,184.18,204
93.38,116.05,108.3,18.6,2056.12,0.24,18.75,246.76,217
114.94,143.03,117.9,18.36,2563.48,0.0,23.81,332.59,247
144.96,181.02,127.49,17.17,3150.94,0.0,28.88,422.0,230
178.9,224.78,137.09,15.26,3738.4,0.0,33.44,507.83,242
211.12,266.3,141.2,11.8,4165.65,0.0,32.17,579.36,239
221.35,279.28,141.2,9.66,4165.65,0.0,25.33,586.51,204
172.31,211.59,132.98,12.64,3311.16,0.0,16.47,447.03,203
157.39,194.31,128.87,10.13,2937.32,0.0,8.87,393.39,208
134.12,167.29,120.64,8.58,2456.67,0.0,4.88,314.71,247
102.42,127.91,112.41,7.99,1842.5,0.0,3.2,209.21,223
78.0,97.21,104.19,7.63,1388.55,0.0,2.31,128.75,239
67.69,84.1,98.71,7.75,1188.28,0.0,1.98,96.56,204
63.52,78.17,95.96,7.87,1108.17,0.0,1.69,83.15,247
59.84,72.15,95.96,8.11,1041.41,0.0,1.49,67.95,222
60.78,72.49,95.96,10.01,1028.06,0.01,2.06,67.95,214
61.42,72.65,95.96,15.26,1001.36,1.97,2.15,68.84,250
62.86,75.37,85.68,14.31,1028.06,7.87,3.04,79.57,215
65.64,79.06,80.2,15.14,1028.06,13.95,3.89,78.68,226
30.01,34.79,47.98,15.14,514.03,47.92,0.69,16.76,165
22.03,25.76,42.84,13.95,447.27,57.94,0.94,10.84,125
20.77,24.48,43.87,14.31,440.6,59.37,1.12,9.39,107
20.44,24.24,45.93,13.95,440.6,57.22,1.33,7.71,143
21.07,25.16,52.78,14.54,460.62,49.35,1.76,6.09,146
22.83,27.26,62.38,15.97,487.33,36.84,2.18,3.55,123
37.64,48.59,87.05,13.59,907.9,2.01,7.09,55.43,152
59.23,79.5,80.88,10.01,1522.06,0.0,12.54,162.72,230
81.36,109.07,76.77,7.99,2029.42,0.0,15.96,253.92,238
98.65,132.18,74.71,6.5,2323.15,0.0,15.83,300.41,233
97.14,130.2,70.6,4.29,2216.34,0.0,10.64,271.8,206
77.1,103.18,67.17,3.16,1762.39,0.0,6.65,189.54,230
38.98,51.21,67.86,4.17,947.95,0.0,3.26,59.9,158
22.89,29.7,60.32,4.23,627.52,0.51,2.09,17.66,102
14.91,18.64,46.61,4.71,467.3,15.38,1.58,1.44,73
12.72,15.2,29.82,5.19,400.54,45.06,1.12,0.01,76
14.26,16.62,29.47,5.25,410.56,42.56,1.06,0.02,62
15.31,17.7,31.53,5.84,420.57,33.26,1.11,0.06,65
14.37,16.67,30.85,6.44,410.56,31.83,1.09,0.07,100
12.97,15.32,30.5,6.79,397.21,34.33,1.19,0.07,61
13.71,16.93,39.07,6.91,427.25,27.54,1.84,0.28,51
14.87,18.97,43.87,7.63,467.3,23.25,2.5,4.53,75
15.55,20.1,38.39,8.82,480.65,32.19,2.75,11.18,78
16.07,20.61,33.93,10.25,460.62,42.2,2.56,12.74,78
16.93,21.23,30.85,11.92,440.6,51.5,2.15,11.62,84
17.56,21.57,28.79,12.76,420.57,58.65,1.92,10.06,62
16.92,20.52,26.73,12.28,403.88,64.37,1.85,8.05,66
19.69,24.59,37.7,10.13,480.65,49.35,2.98,13.3,88
25.44,33.17,54.15,9.54,634.19,23.96,4.69,27.49,186
30.34,40.39,64.43,9.78,774.38,7.42,6.21,44.7,170
42.25,58.11,68.55,8.7,1161.58,0.3,9.63,109.08,151
58.13,80.27,69.23,7.51,1628.88,0.0,12.16,193.12,208
80.93,110.77,74.03,7.99,2162.93,0.0,17.23,282.53,207
109.57,148.95,84.31,10.37,2696.99,0.0,27.87,364.78,221
126.54,173.38,94.59,12.52,2937.32,0.0,36.48,393.39,216
128.78,179.35,97.33,12.64,2857.21,0.0,38.5,371.93,222
122.61,171.83,87.74,11.56,2616.88,0.0,33.44,336.17,201
100.86,141.31,67.86,9.66,2082.82,0.0,21.28,264.64,207
77.31,106.44,47.98,7.27,1535.42,0.0,10.64,182.39,242
56.57,75.73,34.27,4.17,1068.12,0.0,3.45,109.97,217
43.63,56.92,29.82,3.76,787.73,0.0,2.34,66.16,193
37.06,47.82,30.16,4.17,667.57,0.0,2.37,47.83,178
33.71,43.73,31.19,4.59,627.52,0.0,2.56,42.02,169
34.62,45.41,33.59,4.77,674.25,0.0,3.36,49.62,186
46.94,62.55,43.18,5.01,974.66,0.0,6.97,94.77,195
67.74,90.96,56.21,5.48,1522.06,0.64,10.39,182.39,222
79.55,107.38,63.75,5.72,1895.9,2.24,11.02,243.19,216
74.34,101.45,65.12,6.68,1815.8,4.34,11.65,223.52,234
29.15,38.09,51.41,15.14,647.54,26.82,3.61,35.76,193
26.79,34.67,45.93,17.17,547.41,38.27,3.2,22.58,163
26.01,33.31,45.24,18.36,514.03,46.49,3.04,16.76,199
30.64,39.57,58.95,14.9,640.87,33.97,4.56,27.05,159
40.27,52.94,77.46,12.04,894.55,13.23,7.09,59.9,174
47.41,63.34,84.31,10.85,1134.87,3.22,8.99,95.67,163
53.38,72.35,84.31,9.3,1335.14,0.13,9.25,135.9,204
56.52,76.65,78.83,6.97,1441.96,0.0,7.16,157.36,201
57.79,78.62,70.6,5.13,1428.6,0.0,5.19,153.78,231
60.7,82.44,65.12,4.29,1401.9,0.0,4.56,144.84,203
63.35,86.26,62.38,3.87,1361.85,0.0,4.5,134.11,241
63.52,86.67,58.26,3.67,1295.09,0.0,4.69,119.81,240
67.37,91.46,52.78,3.58,1321.79,0.0,5.07,128.75,248
68.07,91.47,45.93,3.99,1321.79,0.0,4.24,139.47,202
65.91,87.69,39.07,5.13,1255.04,0.0,4.62,137.69,247
64.44,83.9,34.27,6.56,1188.28,0.0,5.45,132.32,241
64.79,81.69,30.85,7.21,1148.22,0.0,5.45,132.32,219
67.31,83.06,28.1,7.57,1148.22,0.0,5.13,139.47,201
68.19,83.73,25.7,6.62,1121.52,0.0,4.05,141.26,204
65.91,81.25,24.33,4.59,1068.12,0.0,2.56,130.53,244
69.99,86.93,29.13,3.93,1201.63,0.0,3.45,144.84,222
50.98,61.47,40.78,6.56,834.47,0.88,2.47,67.06,217
45.22,55.32,42.16,6.85,747.68,6.17,3.13,50.51,175
38.24,45.89,33.93,6.68,587.46,16.63,2.44,29.5,177
22.44,25.25,16.96,4.89,387.19,45.06,0.79,6.71,150
14.36,16.16,13.88,4.41,353.81,59.37,0.93,4.47,51
9.35,10.72,13.19,4.17,327.11,70.1,0.99,3.49,9
7.04,8.69,18.34,5.25,333.79,71.53,1.38,4.08,21
6.98,9.31,26.73,6.56,363.83,62.23,1.9,5.03,19
6.68,9.51,37.01,6.85,390.53,47.92,2.28,3.8,2
6.94,10.32,52.09,6.38,427.25,26.46,2.75,0.94,52
8.28,12.41,63.06,5.6,487.33,8.94,3.39,2.68,92
10.29,15.53,65.12,5.01,534.06,2.32,4.05,7.71,69
14.83,22.4,62.38,4.53,634.19,0.21,5.45,23.02,70
19.89,30.14,61.01,4.05,734.33,0.0,6.71,39.34,82
23.64,35.98,60.32,3.7,801.09,0.0,7.41,48.28,149
24.39,37.2,58.26,3.7,807.76,0.0,6.65,50.96,140
19.13,29.27,52.78,3.76,694.27,0.0,3.8,37.1,92
14.83,22.06,47.3,3.81,594.14,0.03,2.09,23.25,66
12.77,18.44,44.55,3.73,534.06,0.12,1.47,15.42,96
13.86,19.89,43.53,4.11,554.08,0.08,1.69,18.33,75
15.72,23.0,45.24,5.3,587.46,0.03,2.34,23.25,100
16.7,25.17,47.98,6.68,607.49,0.02,3.07,26.38,81
18.43,28.43,50.04,7.63,647.54,0.01,3.93,33.53,100
30.63,45.87,56.89,8.58,921.25,0.0,7.79,76.0,186
45.6,67.82,66.49,9.42,1308.44,0.74,11.02,137.69,176
47.14,72.83,66.49,10.01,1415.25,3.44,10.64,157.36,181
35.55,58.44,61.01,13.59,1134.87,8.23,9.5,116.23,155
17.6,28.65,56.89,22.41,640.87,25.03,5.32,43.36,65
15.01,22.94,52.78,20.98,547.41,37.19,4.12,28.61,58
11.17,17.59,44.55,17.4,473.98,49.35,3.2,17.66,96
8.11,13.67,42.5,15.02,433.92,55.07,3.04,9.83,60
8.49,14.64,48.67,15.26,440.6,49.35,3.39,7.1,68
8.13,14.65,53.47,13.71,447.27,40.05,3.45,2.54,67
8.53,15.43,56.21,12.16,460.62,32.9,3.29,0.19,68
9.79,17.9,57.58,11.44,480.65,28.97,3.29,0.18,95
10.56,19.94,56.89,10.37,487.33,30.04,3.39,0.16,92
9.65,18.24,51.41,9.06,467.3,38.62,2.94,0.05,77
8.77,16.94,40.44,7.87,420.57,51.5,2.22,0.01,57
10.76,20.22,32.56,6.91,390.53,57.94,1.69,0.0,94
11.16,21.68,22.96,5.6,350.48,64.37,1.11,0.0,90
9.23,19.4,16.11,5.19,310.42,68.66,0.67,0.0,10
7.84,18.13,13.71,5.07,297.07,71.53,0.57,0.0,34
7.39,19.91,13.02,5.07,290.39,73.67,0.57,0.0,35
8.15,24.94,13.19,5.25,287.06,72.96,0.57,0.0,52
8.92,27.02,13.37,5.42,287.06,74.39,0.52,0.0,87
11.6,30.07,14.05,5.9,290.39,80.11,0.38,0.0,93
16.06,33.27,15.42,6.26,297.07,87.98,0.12,0.0,89
15.34,26.54,20.39,6.02,310.42,82.97,0.48,0.0,90
11.39,16.36,23.65,5.36,317.1,72.96,0.76,0.01,59
8.54,11.11,25.02,5.25,320.43,68.66,0.93,0.1,7
6.85,8.53,24.33,5.13,320.43,69.38,0.94,0.25,27
5.14,6.34,25.02,5.48,313.76,65.8,0.97,0.37,7
4.44,5.7,30.16,6.62,323.77,55.79,1.08,0.68,10
4.21,5.64,35.64,7.45,337.12,43.99,1.19,1.22,18
4.96,7.06,41.81,8.7,377.18,29.33,1.49,5.98,58
6.71,9.79,45.93,10.37,440.6,18.78,1.76,14.31,52
8.16,11.96,49.35,10.25,473.98,9.83,1.95,17.88,75
9.23,13.6,54.15,8.94,500.68,0.84,2.18,18.55,52
9.97,14.43,52.78,7.75,507.35,0.08,2.47,18.1,96
10.68,15.35,55.52,7.21,507.35,0.37,2.79,13.3,78
13.93,19.99,57.58,6.44,574.11,0.15,3.83,20.34,69
18.21,26.37,59.63,5.48,660.9,0.0,4.75,32.19,84
20.84,30.86,60.32,5.13,707.63,0.0,5.45,37.55,118
24.24,36.0,60.32,4.89,774.38,0.0,5.89,49.17,136
23.73,35.38,57.58,5.01,774.38,0.0,4.43,52.3,107
21.44,32.17,52.78,5.19,714.3,0.0,3.45,46.94,134
20.47,30.61,48.67,5.48,680.92,0.0,3.1,42.47,150
24.75,35.38,49.35,6.62,761.03,0.0,2.79,55.43,135
35.42,48.12,60.32,10.85,974.66,0.0,3.2,86.72,164
39.34,54.41,70.6,12.87,1041.41,0.0,2.79,89.41,157
35.84,50.78,73.34,11.32,961.3,0.0,2.53,70.63,172
42.52,59.12,74.71,10.61,1068.12,0.0,4.88,87.62,171
51.77,71.05,74.03,9.89,1295.09,0.83,6.9,123.38,243
42.73,58.76,63.06,8.7,1174.93,4.6,7.09,105.5,163
23.53,33.85,50.72,9.66,754.36,17.7,5.76,47.39,136
7.32,11.97,27.08,10.01,370.5,57.22,2.09,6.43,33
6.06,9.59,26.39,9.54,353.81,62.94,1.95,3.86,5
6.56,8.93,33.24,9.42,353.81,55.79,1.74,1.98,8
6.47,7.9,31.87,7.63,340.46,51.5,1.16,1.38,15
7.25,8.32,28.79,7.21,367.16,38.27,0.81,3.21,40
6.72,7.54,23.99,5.66,373.84,35.05,0.55,1.96,42
3.42,4.21,20.22,4.41,327.11,43.99,0.5,0.1,37
2.34,3.3,21.59,3.93,323.77,42.56,0.63,0.03,34
2.23,3.45,21.76,3.46,333.79,40.41,0.78,0.04,42
2.24,3.73,21.93,3.37,337.12,37.91,0.96,0.06,14
2.2,3.83,21.76,3.52,337.12,36.48,1.08,0.07,15
2.24,3.94,22.28,3.78,340.46,34.69,1.22,0.08,0
2.06,3.67,21.76,4.11,337.12,33.26,1.2,0.09,12
1.5,2.77,18.85,4.23,327.11,33.97,0.99,0.05,17
1.34,2.44,17.31,4.35,323.77,33.62,0.94,0.05,47
1.37,2.51,16.96,4.47,320.43,32.54,0.96,0.05,21
1.54,2.8,18.16,4.89,323.77,30.4,1.0,0.07,37
1.75,3.13,19.88,5.36,330.45,27.54,1.01,0.11,46
1.97,3.47,21.93,5.78,337.12,24.32,0.98,0.17,45
2.39,4.12,25.36,6.02,350.48,20.21,1.01,0.34,8
4.12,6.65,35.3,6.32,397.21,9.75,1.41,2.01,25
5.93,9.42,39.76,7.15,460.62,5.23,1.98,9.95,5
6.42,10.38,34.62,8.34,480.65,10.91,2.47,18.1,36
5.98,9.82,29.82,9.3,460.62,15.74,2.56,18.78,13
4.43,7.23,22.62,8.94,403.88,24.32,1.93,13.75,8
4.3,6.77,21.93,9.78,393.87,27.18,1.82,14.08,2
4.26,6.51,23.65,10.37,390.53,28.25,1.74,14.08,35
3.76,5.83,30.85,9.3,377.18,21.82,1.65,7.15,49
3.72,5.9,34.27,9.06,380.52,18.42,1.8,4.92,20
4.22,6.52,40.1,9.06,393.87,12.7,1.99,2.96,52
4.75,7.11,47.98,9.66,407.22,7.33,2.22,2.46,74
4.39,6.75,49.35,9.54,410.56,6.35,2.28,2.71,71
4.1,6.55,45.93,8.34,403.88,8.85,2.25,1.96,84
4.24,6.39,42.5,7.45,397.21,12.52,2.06,1.16,60
4.3,6.03,39.07,7.39,383.85,16.45,1.79,0.64,28
4.37,5.8,36.33,7.21,377.18,20.92,1.49,0.34,38
4.75,6.16,38.04,7.39,380.52,20.74,1.28,0.36,4
4.9,6.3,41.13,7.75,387.19,17.7,0.97,0.38,91
5.75,7.35,45.24,8.58,400.54,13.41,0.92,0.78,79
7.68,10.18,50.04,7.87,427.25,6.17,1.08,2.77,99
10.6,14.5,52.09,7.09,480.65,1.16,1.52,8.61,56
13.42,18.54,52.09,7.87,527.38,0.2,2.22,15.42,90
16.0,22.05,53.47,9.06,567.44,0.04,2.75,21.68,98
17.38,24.02,52.78,7.99,594.14,0.02,2.44,25.48,100
21.24,29.51,53.47,7.09,687.6,0.0,3.13,39.34,139
22.38,31.23,57.58,6.91,747.68,0.47,3.2,48.28,139
19.46,27.26,54.15,6.44,720.98,4.52,2.63,45.15,67
12.91,18.44,39.07,6.56,580.79,15.56,1.98,28.16,92
3.98,5.96,18.68,6.56,373.84,36.84,0.98,7.49,48
2.02,3.24,14.74,6.38,337.12,38.98,0.83,5.09,16
1.3,2.19,13.54,6.32,327.11,38.27,0.65,3.58,42
1.13,2.01,13.54,5.48,327.11,38.62,0.67,3.21,49
1.42,2.57,16.79,5.3,343.8,35.76,0.93,3.69,15
1.77,3.17,22.96,5.42,360.49,30.04,1.19,2.68,46
2.07,3.68,31.19,5.54,373.84,23.25,1.39,0.57,10
2.36,4.14,33.93,5.42,383.85,21.28,1.54,0.47,5
2.79,4.83,34.27,5.25,387.19,20.38,1.69,0.54,43
3.09,5.39,33.93,5.01,383.85,21.1,1.8,0.49,25
2.87,5.17,30.16,4.59,367.16,26.82,1.66,0.24,50
2.61,4.77,26.73,4.17,353.81,35.05,1.52,0.1,15
2.16,4.03,23.31,4.17,337.12,42.92,1.3,0.04,1
1.45,2.85,18.68,4.41,317.1,47.92,0.96,0.01,4
1.24,2.42,16.96,4.77,310.42,48.64,0.83,0.01,15
1.21,2.34,16.62,4.95,310.42,47.92,0.78,0.01,12
1.41,2.61,17.65,5.13,313.76,46.49,0.77,0.02,21
1.61,2.88,18.85,5.36,317.1,45.06,0.76,0.02,11
1.74,3.13,19.88,5.48,323.77,43.63,0.77,0.03,11
2.22,3.89,23.31,5.72,333.79,39.7,0.87,0.05,6
4.18,6.83,36.33,6.14,383.85,26.46,1.39,0.41,30
6.07,9.79,46.61,7.03,440.6,16.27,2.06,4.75,72
5.84,9.85,37.7,7.63,447.27,26.46,2.44,11.4,2
4.62,8.2,27.42,7.75,410.56,38.27,2.25,11.29,26
2.39,4.46,16.96,5.9,347.14,51.5,1.39,6.31,50
1.92,3.53,14.57,5.66,330.45,55.79,1.17,5.25,8
1.7,3.11,13.88,5.36,323.77,57.94,1.06,4.36,6
2.21,3.91,17.99,6.44,337.12,53.64,1.36,5.09,23
3.24,5.66,26.39,8.11,367.16,44.7,1.88,6.26,2
3.96,6.87,37.7,8.82,393.87,32.9,2.25,4.53,42
4.84,8.22,52.78,9.06,427.25,16.99,2.66,1.51,73
6.26,10.34,61.69,8.94,480.65,6.44,3.13,3.69,81
8.03,12.86,64.43,8.7,514.03,2.55,3.61,6.93,57
11.65,18.06,65.8,7.75,587.46,0.52,4.62,15.87,82
15.2,23.35,67.17,6.44,647.54,0.05,5.45,24.14,66
17.02,26.57,67.17,5.36,674.25,0.03,5.7,26.6,68
19.16,29.64,66.49,4.59,720.98,0.01,5.51,33.08,54
17.7,27.6,63.75,4.11,707.63,0.0,3.77,32.19,85
16.19,25.27,58.95,4.35,674.25,0.01,2.82,29.06,64
15.24,23.51,53.47,4.65,640.87,0.02,2.5,25.03,71
14.85,22.54,51.41,5.25,614.17,0.02,2.22,22.8,75
15.53,23.22,51.41,6.62,614.17,0.01,2.22,23.92,93
17.21,25.48,51.41,8.34,647.54,0.0,2.44,29.95,92
21.61,31.51,52.09,10.13,734.33,0.0,3.07,46.04,128
34.55,48.52,55.52,12.87,988.01,0.0,5.45,88.51,187
59.48,80.45,66.49,19.55,1508.71,0.49,10.89,175.24,203
89.1,118.9,85.68,28.85,2109.53,2.41,19.0,268.22,248
109.52,149.4,115.16,33.86,2456.67,5.5,24.07,296.83,230
44.95,64.12,106.93,39.58,1108.17,4.74,9.37,89.41,151
16.95,25.13,67.17,22.41,560.76,15.56,3.77,18.33,91
9.38,13.21,41.81,15.5,410.56,37.19,2.28,4.69,77
8.78,12.01,34.27,13.59,387.19,47.92,1.95,2.43,2
10.2,14.19,38.04,14.07,403.88,45.78,2.15,1.63,51
10.53,15.33,39.41,13.11,410.56,43.63,2.18,0.54,88
10.63,16.54,44.55,12.4,433.92,37.91,2.34,0.1,63
11.01,17.66,52.78,11.8,467.3,27.89,2.6,0.22,98
11.68,18.54,59.63,10.49,500.68,21.28,2.72,0.5,83
13.96,21.95,66.49,9.42,534.06,15.38,2.85,1.09,61
15.16,23.57,70.6,8.34,547.41,9.12,2.63,2.21,58
15.37,23.3,69.23,7.45,534.06,7.06,2.31,2.85,89
14.48,21.57,61.69,6.85,494.0,11.98,1.84,1.38,86
12.55,18.16,47.3,6.5,427.25,25.03,1.2,0.19,98
12.17,16.69,39.41,6.56,393.87,32.54,0.97,0.05,100
13.02,17.03,35.99,6.62,380.52,34.33,0.88,0.04,95
14.32,18.16,34.96,6.74,380.52,32.9,0.87,0.05,67
15.76,19.54,35.64,7.03,380.52,31.47,0.91,0.06,69
16.86,20.66,37.36,7.51,387.19,28.61,0.96,0.09,59
18.06,22.07,42.16,8.11,400.54,22.35,1.09,0.26,88
21.5,26.63,56.21,8.94,473.98,7.06,1.71,3.49,150
25.05,31.55,61.01,10.25,567.44,2.59,2.37,16.54,178
26.65,33.97,56.21,12.04,614.17,10.37,2.72,27.94,198
26.98,34.27,50.04,13.83,600.81,18.78,2.85,29.5,153
24.86,31.05,47.3,15.26,520.71,25.39,2.6,20.12,124
23.76,29.5,45.24,16.21,500.68,31.47,2.79,18.1,137
22.29,27.67,45.24,16.45,487.33,36.12,2.91,16.09,146
20.31,24.96,44.55,14.66,460.62,41.13,2.82,10.95,117
19.08,23.5,50.72,14.07,447.27,38.98,3.13,6.43,53
18.01,22.19,56.21,12.99,440.6,34.33,3.26,1.84,53
17.77,21.8,58.95,11.8,440.6,32.19,3.45,0.09,55
16.78,20.64,57.58,10.49,440.6,34.69,3.39,0.05,77
15.36,19.22,54.15,9.54,427.25,37.55,3.39,0.04,86
15.2,18.6,53.47,9.89,427.25,37.19,2.91,0.04,58
15.71,18.27,52.09,10.01,423.91,34.69,1.95,0.04,80
16.07,17.66,32.56,6.32,397.21,40.41,0.85,0.02,58
8.35,9.12,17.48,3.49,327.11,43.63,0.43,0.01,35
3.92,4.44,13.02,2.44,300.41,43.63,0.34,0.01,7
2.5,2.97,12.0,2.56,297.07,45.42,0.35,0.01,46
2.03,2.62,11.65,2.89,293.73,47.92,0.42,0.01,6
1.84,2.59,11.48,3.28,293.73,48.64,0.47,0.01,5
1.54,2.41,11.48,3.49,290.39,49.35,0.55,0.01,28
1.53,2.67,14.74,4.41,300.41,45.78,0.79,0.01,25
1.91,3.4,19.19,5.19,317.1,41.48,1.12,0.03,23
3.78,6.18,31.87,5.84,367.16,30.04,1.88,0.23,34
5.49,8.76,42.5,6.74,423.91,19.85,2.6,2.99,70
4.62,7.72,31.87,6.74,413.89,31.11,2.37,7.71,42
2.97,5.32,20.73,6.14,373.84,43.27,1.77,7.15,36
1.17,2.26,10.37,3.93,317.1,56.51,0.92,3.49,2
0.89,1.7,8.31,3.49,303.75,60.08,0.74,2.91,8
0.76,1.46,7.63,3.04,297.07,62.94,0.66,2.46,10
0.9,1.71,9.42,3.19,300.41,62.94,0.77,2.51,46
1.26,2.35,14.05,3.93,317.1,58.65,1.03,2.71,26
1.56,2.9,20.56,4.23,333.79,52.21,1.25,1.55,46
2.76,4.88,38.04,4.65,387.19,32.9,1.98,0.34,37
5.05,8.57,58.95,4.89,480.65,9.48,3.1,3.27,98
8.2,13.55,66.49,4.83,560.76,1.02,4.24,12.74,76
11.21,18.31,67.86,4.89,614.17,0.16,5.07,19.89,82
10.83,18.1,65.8,4.77,580.79,0.55,4.69,14.31,58
8.86,15.21,58.95,4.47,514.03,3.4,3.86,6.48,93
6.77,11.77,50.72,4.59,460.62,10.73,2.98,1.87,99
4.72,8.36,40.78,4.71,413.89,21.1,1.9,0.43,68
3.27,5.69,29.47,4.17,377.18,33.62,1.09,0.07,25
3.28,5.38,27.08,3.37,370.5,36.12,0.8,0.07,34
4.71,7.34,33.24,3.19,397.21,27.89,0.91,0.23,29
6.36,9.66,40.1,3.76,423.91,18.06,1.28,0.7,99
7.73,11.75,45.24,4.77,447.27,10.01,1.95,1.87,73
9.95,15.03,50.04,5.84,500.68,2.77,3.1,7.15,52
19.2,27.94,54.84,7.09,700.95,0.05,6.97,38.0,91
32.31,45.94,59.63,8.82,1001.36,0.92,11.65,86.72,191
39.06,54.91,58.95,9.78,1148.22,4.6,11.27,116.23,153
37.05,51.26,57.58,12.4,1054.76,9.83,8.99,103.71,194
12.15,16.17,47.3,17.88,500.68,33.62,3.45,24.59,87
13.68,17.12,52.09,21.46,494.0,38.98,3.45,24.14,81
20.23,24.22,64.43,28.13,554.08,37.91,3.99,27.72,111
24.9,29.89,75.4,30.04,594.14,31.47,4.24,24.81,123
24.64,30.98,78.14,26.94,594.14,23.25,4.31,19.0,116
17.94,24.24,71.29,19.55,547.41,14.84,3.8,7.49,71
12.12,17.29,64.43,14.54,520.71,10.46,3.74,2.29,60
10.53,15.04,62.38,12.4,534.06,5.81,4.12,4.08,57
10.25,14.73,63.06,9.89,540.73,3.26,3.99,6.26,52
10.26,14.94,63.06,8.11,534.06,3.62,3.7,5.81,86
8.81,13.2,59.63,7.21,494.0,9.75,3.13,2.21,61
7.55,11.51,56.21,7.03,460.62,20.03,2.56,0.56,68
7.24,11.24,53.47,6.79,447.27,26.11,2.12,0.24,82
6.82,10.86,50.72,6.44,433.92,26.11,1.52,0.16,79
6.61,10.55,47.3,6.32,420.57,24.32,1.14,0.17,68
7.5,11.49,45.24,6.32,417.23,21.46,0.92,0.22,88
9.47,13.62,45.93,6.79,423.91,18.24,0.8,0.32,53
11.8,16.17,48.67,7.45,433.92,14.31,0.74,0.52,59
14.15,18.93,54.15,7.45,460.62,7.78,0.79,1.63,51
17.31,23.04,58.95,7.21,514.03,1.15,1.19,8.16,84
26.2,34.94,63.06,7.75,700.95,0.01,3.01,35.32,166
38.8,51.47,69.92,9.18,974.66,0.15,5.19,77.78,156
43.49,57.81,71.97,11.32,1094.82,1.12,5.45,98.35,174
37.4,49.95,69.23,15.26,947.95,3.98,4.56,78.68,190
21.01,27.8,49.35,16.93,554.08,28.61,2.09,29.5,131
18.75,24.62,44.55,16.45,487.33,36.84,1.79,22.8,90
17.11,22.55,43.18,16.21,467.3,39.7,1.84,19.89,89
